id,CN,DT,PL,PM,flowcell id,flowcell lane number,read1,read2,index
lineage-1,FGCZ,2017-05-09,ILLUMINA,HiSeq2500,CB0L6ANXX,1,../primary/line_A_S1_R1_001.fastq.gz,../primary/line_A_S1_R2_001.fastq.gz,../primary/line_A_S1_I1_001.fastq.gz
lineage-2,FGCZ,2017-05-09,ILLUMINA,HiSeq2500,CB0L6ANXX,2,../primary/line_B_S2_R1_001.fastq.gz,../primary/line_B_S2_R2_001.fastq.gz,../primary/line_B_S2_I1_001.fastq.gz
lineage-3,FGCZ,2017-05-09,ILLUMINA,HiSeq2500,CB0L6ANXX,3,../primary/line_I_S3_R1_001.fastq.gz,../primary/line_I_S3_R2_001.fastq.gz,../primary/line_I_S3_I1_001.fastq.gz
lineage-4,FGCZ,2017-05-09,ILLUMINA,HiSeq2500,CB0L6ANXX,4,../primary/line_J_S4_R1_001.fastq.gz,../primary/line_J_S4_R2_001.fastq.gz,../primary/line_J_S4_I1_001.fastq.gz

